gene_id,group,RNA_Leaf_Zone_3_Growth,RNA_Root_Meristem_Zone_5_Days,Protein_Leaf_Zone_3_Growth,Protein_Root_Meristem_Zone_5_Days
Zm00001d016103,train,0.843415969528,0.500341213418,0.843415969528,0.500341213418
Zm00001d010655,train,0.601706593589,0.0,0.601706593589,0.0
Zm00001d013505,train,6.1521653795899995,7.308685849400001,6.1521653795899995,7.308685849400001
Zm00001d054033,val,5.477372460110001,5.50127981666,5.477372460110001,5.50127981666
Zm00001d007470,train,0.0,0.0,0.0,0.0
Zm00001d032560,train,4.81095404996,4.4677136033,4.81095404996,4.4677136033
Zm00001d005185,train,4.45469266243,4.712309339180001,4.45469266243,4.712309339180001
Zm00001d050942,train,4.65557332773,4.27636435129,4.65557332773,4.27636435129
Zm00001d039529,train,2.65811231324,3.45544097917,2.65811231324,3.45544097917
Zm00001d007299,val,0.825787878493,0.0,0.825787878493,0.0
Zm00001d017604,train,4.98256313545,2.48702928708,4.98256313545,2.48702928708
Zm00001d003200,train,3.35605094015,2.80552479513,3.35605094015,2.80552479513
Zm00001d027618,train,5.652867612690001,8.617351004860001,5.652867612690001,8.617351004860001
Zm00001d019106,train,6.85892422587,6.017147736390001,6.85892422587,6.017147736390001
Zm00001d003358,train,0.0,0.45031803805799997,0.0,0.45031803805799997
Zm00001d031175,train,0.045067671531999996,0.117794207161,0.045067671531999996,0.117794207161
Zm00001d022374,train,4.82748659783,4.0134197838,4.82748659783,4.0134197838
Zm00001d008198,train,0.911484567737,3.0164317513,0.911484567737,3.0164317513
Zm00001d014286,test,5.21010081751,3.94875258301,5.21010081751,3.94875258301
Zm00001d046456,train,3.50509819877,3.41260620011,3.50509819877,3.41260620011
Zm00001d039677,val,2.1734543570400002,3.1651852956599997,2.1734543570400002,3.1651852956599997
Zm00001d028319,train,2.38902570255,1.02099330284,2.38902570255,1.02099330284
Zm00001d053684,test,8.436469923839999,6.7152039320800005,8.436469923839999,6.7152039320800005
Zm00001d009687,train,1.9025169574,0.0,1.9025169574,0.0
Zm00001d029683,train,0.0,0.0894277031772,0.0,0.0894277031772
Zm00001d042272,train,2.5229432053,1.9320180759,2.5229432053,1.9320180759
Zm00001d044802,train,5.11971810898,0.417732345889,5.11971810898,0.417732345889
Zm00001d023914,val,3.36416955203,2.37232535317,3.36416955203,2.37232535317
Zm00001d008842,train,1.72023806991,1.8569909955400001,1.72023806991,1.8569909955400001
Zm00001d012794,train,4.109569602200001,2.668496457,4.109569602200001,2.668496457
Zm00001d009584,train,0.0,0.0,0.0,0.0
Zm00001d031328,train,3.9337726631199996,3.3553674233599997,3.9337726631199996,3.3553674233599997
Zm00001d016992,test,2.90191031397,4.112840976569999,2.90191031397,4.112840976569999
Zm00001d042394,val,4.6230285021499995,3.16118409538,4.6230285021499995,3.16118409538
Zm00001d029151,val,4.51430349308,3.87770013233,4.51430349308,3.87770013233
Zm00001d009236,val,3.38292440641,3.90160145364,3.38292440641,3.90160145364
Zm00001d025780,train,0.0,0.0,0.0,0.0
Zm00001d041390,test,0.062284738483499996,0.0,0.062284738483499996,0.0
Zm00001d038840,train,5.95180238502,8.48822351585,5.95180238502,8.48822351585
Zm00001d005347,train,6.95473839607,6.36146800903,6.95473839607,6.36146800903
Zm00001d039022,val,0.408360120329,0.0151202095163,0.408360120329,0.0151202095163
Zm00001d005006,val,4.22067877036,3.92745394203,4.22067877036,3.92745394203
Zm00001d048969,train,3.5513270085500004,2.5792485429700003,3.5513270085500004,2.5792485429700003
Zm00001d013002,test,0.0,0.0,0.0,0.0
Zm00001d032501,val,2.0043191470400004,0.0883242437737,2.0043191470400004,0.0883242437737
Zm00001d016520,val,2.84818566926,2.00593232531,2.84818566926,2.00593232531
Zm00001d022237,train,8.44899873454,5.377690381869999,8.44899873454,5.377690381869999
Zm00001d036307,train,0.00421317907636,0.00324427613899,0.00421317907636,0.00324427613899
Zm00001d038748,train,0.0,0.122782356971,0.0,0.122782356971
Zm00001d003658,train,2.11600659818,3.5262850660900003,2.11600659818,3.5262850660900003
Zm00001d015354,train,1.2578986806799999,1.2707862202700002,1.2578986806799999,1.2707862202700002
Zm00001d050112,train,3.415345479,3.45939122394,3.415345479,3.45939122394
Zm00001d017942,train,0.0651503047559,0.0,0.0651503047559,0.0
Zm00001d022198,train,0.647724716961,0.737965617941,0.647724716961,0.737965617941
Zm00001d042244,val,0.44910045673999993,0.22228311931699998,0.44910045673999993,0.22228311931699998
